team,component,reason,differences,description
Mercedes F1 Team,Floor Board,Performance – Local Load,Reprofiled elements,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Floor Corner,Performance - Flow Conditioning,Additional slots,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Floor Body,Performance – Local Load,Reprofiled diffuser roof,"Running the front wing elements into the footplate, and adding strakes, results in more robust flow structures, improving flow to the rear of the car and gaining downforce."
Mercedes F1 Team,Rear Corner,Performance – Local Load,Rear winglet span and position redistribution,Chord and position of the rear caketin winglets re-optimised to improve local flow control and performance of the diffuser.
Red Bull Racing,Front Wing,Balance Range,Revised front wing flap elements,Both second and third front wing elements forming the flap assemblies are revised to shift the aerobalance range available for the upcoming circuits.
Red Bull Racing,Front Corner,Reliability,Revised brake duct exit geometry,The next two circuits on the calendar demand more brake assembly cooling and to offer this an enlarged exit duct has been produced to enhance the cooling
Red Bull Racing,Floor,Performance – Local load,Bib edge trim and revised forward floor devices,"To further optimise both the bib and forward floor devices, the former has a trim applied and the latter mildly increased camber resulting in the local load increasing"
Red Bull Racing,Engine Cover,Reliability,Cooling exit panel option,"Given the forecast for Montreal, a closed radiator exit panel has been created with the louvre steps necessary for the race in Miami now closed."
Scuderia Ferrari,None,No updates submitted for this event,None,None
Williams Racing,Front Corner,Circuit specific - Cooling Range,A new FBD scoop geometry with a reprofiled exit area.,"To suit the demands of the Gilles-Villeneuve circuit, a new FBD geometry will be introduced which offers an increased level of overall brake system cooling."
Williams Racing,Front Suspension,Performance - Flow Conditioning,"Revised suspension cladding surfaces, with changes in chord and incidence across their span.","In concert with the updated FBD geometry, new suspension cladding will be available to improve the local interactions on the front corner and hence downstream across the rest of the car."
Williams Racing,Exhaust Tailpipe,Performance – Local Load,A repositioned exhaust tailpipe,"Following on from an update introduced at the previous Miami GP, a further step on the exhaust system will be evaluated which offers an improved coupling with the surrounding aerodynamic components."
Racing Bulls / RB,Floor Body,Performance - Local Load,New Main Floor geometry,"A new floor geometry resulting in an efficient downforce increase generated by the underbody of the car, across a range of operating conditions."
Racing Bulls / RB,Rear Corner,Performance – Flow Conditioning,Reprofiled Rear Corner devices,"Working in conjunction with the floor update, the changes to the rear corner devices improve the flow management at the back of the car."
Racing Bulls / RB,Beam Wing,Performance – Local Load,Profile and incidence modifications,"Supporting the changes made to the floor and around the exhaust, the Beam Wing changes help extract additional load from the rear wing assembly."
Racing Bulls / RB,Exhaust Tailpipe Bracket,Performance – Flow Conditioning,Reprofiled tailpipe bracket,The tailpipe bracket update improves the flow management around the centreline of the car as part of the surrounding changes on the Beam Wing and floor.
Aston Martin,None,No updates submitted for this event,None,None
Haas F1 Team,Sidepod Inlet,Sidepod Inlet,Performance - Flow Conditioning,Performance -
Haas F1 Team,Coke/Engine Cover,Sidepod Inlet,Performance - Flow Conditioning,Performance -
Haas F1 Team,Floor Body,Sidepod Inlet,Performance - Local Load,Performance -
Haas F1 Team,Rear Suspension,Sidepod Inlet,Performance - Flow Conditioning,Performance -
Haas F1 Team,Rear Corner,Sidepod Inlet,Performance - Local Load,Performance -
Audi F1 Team,Front Corner,Circuit specific - Cooling Range,New front brake duct design.,Changes offer increased brake system cooling flow for the big braking zones of this specific track.
Audi F1 Team,Floor Diffuser Winglet,Performance – Local Load,Updated diffuser.,Changes offer increased brake system cooling flow for the big braking zones of this specific track.
Audi F1 Team,Cooling Louvres,Performance – Local Load,New sidepod louvres.,For this event new sidepod louvres are available to allow fitting more efficient cooling options.
Audi F1 Team,Rear Corner,Circuit specific - Cooling Range,New rear brake duct design.,Changes offer increased brake system cooling flow for the big braking zones of this specific track.
Alpine F1 Team,Floor body,Performance - Local Load,New floor and board geometry,A completely new floor geometry is released at this event with the objective of increasing aerodynamic performance and efficiency across all operating conditions.
Alpine F1 Team,Rear Wing,Performance - Local Load,Modified rear wing geometry,"As part of our rear wing development programme, geometrical adjustments to our latest rear wing are introduced at this event."
Cadillac,Front Corner,Performance - Cooling,"Updated leading edge lip, brake duct internals and exit geometry","The leading edge lip profile of the FBD has been revised to improve overall aerodynamic loading, whilst internal duct and exit geometry revisions increase brake cooling capacity"
Cadillac,Diffuser,Performance – Local Load,Revised Diffuser winglet lower trim and hanger details,"A lower edge trim has been applied to the Diffuser winglet cascade, and the hanger detail has been revised to increase local aerodynamic load at the rear of the car"
