team,component,reason,differences,description
Racing Bulls / RB,Rear Wing,Performance – Local Load,New mainplane & flap aerofoil profiles,"Downforce generated by the rear wing is increased through camber & incidence changes, at an efficient level for the circuit."
Racing Bulls / RB,Rear Wing Endplate,Performance – Flow Conditioning,Camber distribution changes across endplate.,"This endplate works in conjunction with the changes to the rear wing to enhance the airflow between them, allowing the rear wing work effectively."
Racing Bulls / RB,Front Wing,Circuit specific - Balance Range,Additional option of flap profile available.,"To effectively cover the balance requirements for Miami, a shorter chord flap allows a lower aero balance range to be run."
Aston Martin,None,No updates submitted for this event,None,None
Haas F1 Team,Diffuser,Diffuser,Performance - Local Load,Performance -
Audi F1 Team,Front Suspension,Performance – Flow Conditions,New front brake duct and suspension legs covers,A revised brake duct and suspension at the front of the car to improve flow conditions and subsequent overall performance.
Audi F1 Team,Floor Edge and Diffuser,Performance – Local Load,New floor edge and diffuser shape including the diffuser winglet,The rear floor edge and diffuser were developed to provide an increase of efficient aero load at the rear car.
Alpine F1 Team,Front Corner,Performance - Flow Conditioning,Revised front drum exit,The front drum exit duct has been redesigned to improve the flow quality around the front corner and further downstream.
Alpine F1 Team,Nose camera,Performance - Flow Conditioning,Adjustments to the camera mounts,The nose camera mount has been reprofiled with the objective of improving local flow management and delivering higher quality flow downstream.
Alpine F1 Team,Rear suspension,Performance - Flow Conditioning,Suspension legs reprofiled,The suspension legs have been refined to better control the flowfield around the rear suspension and improve global flow quality.
Alpine F1 Team,Rear impact structure,Performance - Local Load,Addition of an element,The new developed geometry is aimed at increasing aerodynamic load locally and efficiently throughout the operating range of the car.
Alpine F1 Team,Rear wing,Performance - Local Load,Compete new rear wing assembly,"As part of our in-season development, a complete new rear wing is introduced in Miami to improve overall aerodynamic performance."
Alpine F1 Team,Rear Wing Endplate,Performance - Local Load,Reprofiled endplate,"The rear wing endplate was redesigned to integrate effectively with the rear wing changes, improving aerodynamic interaction and overall performance."
Racing Bulls / RB,Front Wing Endplate,Performance – Flow Conditioning,Updated End Plate Body and reprofiled Footplate geometry,Enhanced flow conditioning to the rear of the car to reduce overall sensitivity to ride height changes and improve rear load
Racing Bulls / RB,Front Wing Flap,Performance – Flow Conditioning,Updated Front Wing Flap profiles,Revised Front Wing Flap profiles to reduce aerodynamic losses while also enhancing the consistency and quality of airflow directed toward the rear of the car
Racing Bulls / RB,Mirror Stay,Performance – Flow Conditioning,Movement and profile change of stay,"Improves the onset flow and therefore aerodynamic load at the rear of the car, whilst the reprofiled leading edge also increases structural integrity"
Racing Bulls / RB,Forward Floorboard,Performance – Local Load,Reprofiled forward board with updated top edge and winglet details,Forward floor changes increase aerodynamic load at the rear of the floor and diffuser with improved ride height characteristics and sensitivities
Racing Bulls / RB,Floor Body,Performance – Local Load,Local changes to floor rear corner and addition of top surface strake,Local surface and feature changes in the rear floor region ahead of the rear tyre to increase local floor loading and therefore overall aerodynamic load at the rear of the car
Racing Bulls / RB,Diffuser,Performance – Local Load,"Cascade winglet trailing edge detail changes, reprofiled fences and updated Diffuser shoulder geometry","Updated Diffuser geometry to increase rear floor load and consequently overall aerodynamic load at the rear of the car, whilst improving sensitivity to ride heights"
Racing Bulls / RB,Rear Suspension,Performance – Flow Conditioning,Reprofiled Rear Suspension fairings,"Updated rear suspension to improve local flow quality, increase aerodynamic stability and consequently increase potential for further rear car development"
Racing Bulls / RB,Rear Corner,Performance – Local Load,"Updated Deflector and Stay, reprofiled Lip and Rear Vanes",Local surface changes including updated PDC geometry to increase local load whilst also improving flow quality for increased aerodynamic stability
Racing Bulls / RB,Exhaust Tailpipe Bracket,Performance – Local Load,Updated and repositioned Exhaust Tailpipe Bracket,Revised Exhaust Tailpipe Bracket geometry to generate local aerodynamic load and consequently improve the characteristics of load at the rear of the car
